x,y,Angle,Point,x1,y1
0.3,0.3,0,0.0,0.3,0.3
0.3,0.3,45,-1.0,-0.40710676,-0.40710676
0.3,0.3,90,-1.0,-0.7,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.0,0.3,0.3
0.3,0.3,225,0.0,0.3,0.3
0.3,0.3,270,0.0,0.3,0.3
0.3,0.3,315,-1.0,1.0071068,-0.40710676
0.35,0.42,0,0.007,0.35,0.427
0.35,0.42,45,0.005,0.35353553,0.42353553
0.35,0.42,90,0.0,0.35,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.0,0.35,0.42
0.35,0.42,225,0.012,0.3415147,0.4115147
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.4,0.4,0,0.001,0.4,0.401
0.4,0.4,45,0.009,0.40636396,0.40636396
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.007999999,0.39434314,0.39434314
0.4,0.4,270,0.001,0.39900002,0.4
0.4,0.4,315,0.0,0.4,0.4
0.4,0.4,0,0.0019999999,0.4,0.402
0.4,0.4,45,0.018,0.41272792,0.41272792
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.0139999995,0.3901005,0.3901005
0.4,0.4,270,0.001,0.39900002,0.4
0.4,0.4,315,0.001,0.3992929,0.40070713
0.35,0.42,0,0.0,0.35,0.42
0.35,0.42,45,-1.0,-0.35710678,-0.28710678
0.35,0.42,90,0.0,0.35,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.001,0.35,0.419
0.35,0.42,225,-1.0,1.0571067,1.1271068
0.35,0.42,270,-1.0,1.35,0.42
0.35,0.42,315,-1.0,1.0571067,-0.28710678
0.3,0.3,0,0.0,0.3,0.3
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.0019999999,0.3,0.298
0.3,0.3,225,0.0019999999,0.2985858,0.2985858
0.3,0.3,270,0.0,0.3,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0019999999,0.30200002,0.3
0.3,0.3,135,0.0019999999,0.30141422,0.2985858
0.3,0.3,180,0.0019999999,0.3,0.298
0.3,0.3,225,0.0019999999,0.2985858,0.2985858
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0.001,0.2992929,0.30070713
0.35,0.42,0,0.011,0.35,0.431
0.35,0.42,45,0.013,0.35919237,0.42919236
0.35,0.42,90,0.0019999999,0.352,0.42
0.35,0.42,135,0.004,0.3528284,0.41717157
0.35,0.42,180,0.006,0.35,0.41399997
0.35,0.42,225,0.012,0.3415147,0.4115147
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.4,0.4,0,0.007999999,0.4,0.408
0.4,0.4,45,0.018,0.41272792,0.41272792
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.012,0.39151472,0.39151472
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.4,0.4,0,0.004,0.4,0.404
0.4,0.4,45,0.006,0.40424263,0.40424263
0.4,0.4,90,0.0,0.4,0.4
0.4,0.4,135,0.0,0.4,0.4
0.4,0.4,180,0.001,0.4,0.39900002
0.4,0.4,225,0.007999999,0.39434314,0.39434314
0.4,0.4,270,0.001,0.39900002,0.4
0.4,0.4,315,0.0,0.4,0.4
0.35,0.42,0,0.007,0.35,0.427
0.35,0.42,45,0.0,0.35,0.42
0.35,0.42,90,0.0,0.35,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.001,0.35,0.419
0.35,0.42,225,0.006,0.34575737,0.41575736
0.35,0.42,270,0.006,0.34399998,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,-1.0,-0.40710676,-0.40710676
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.001,0.3,0.29900002
0.3,0.3,225,0.0019999999,0.2985858,0.2985858
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0.0,0.3,0.3
0.35,0.42,0,0.012,0.35,0.43199998
0.35,0.42,45,0.006,0.35424262,0.42424262
0.35,0.42,90,0.006,0.356,0.42
