x,y,Angle,Point,x1,y1
0.4,0.4,0,0.007,0.4,0.407
0.4,0.4,45,0.031000001,0.42192033,0.42192033
0.4,0.4,90,0.006,0.40600002,0.4
0.4,0.4,135,0.006,0.40424263,0.39575738
0.4,0.4,180,0.013,0.4,0.387
0.4,0.4,225,0.012,0.39151472,0.39151472
0.4,0.4,270,0.005,0.395,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.011,0.35,0.431
0.35,0.42,45,-1.0,-0.35710678,-0.28710678
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.012,0.35,0.408
0.35,0.42,225,0.006,0.34575737,0.41575736
0.35,0.42,270,0.007,0.343,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.0,0.3,0.3
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.005,0.29646447,0.29646447
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.0019999999,0.4,0.402
0.4,0.4,45,0.038,0.42687005,0.42687005
0.4,0.4,90,0.0,0.4,0.4
0.4,0.4,135,0.0,0.4,0.4
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.025,0.38232234,0.38232234
0.4,0.4,270,0.0,0.4,0.4
0.4,0.4,315,0.001,0.3992929,0.40070713
0.35,0.42,0,0.0,0.35,0.42
0.35,0.42,45,-1.0,-0.35710678,-0.28710678
0.35,0.42,90,0.0,0.35,0.42
0.35,0.42,135,0.0,0.35,0.42
0.35,0.42,180,0.001,0.35,0.419
0.35,0.42,225,0.006,0.34575737,0.41575736
0.35,0.42,270,-1.0,1.35,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.0019999999,0.30141422,0.30141422
0.3,0.3,90,0.0,0.3,0.3
0.3,0.3,135,0.001,0.30070713,0.2992929
0.3,0.3,180,0.0,0.3,0.3
0.3,0.3,225,0.0,0.3,0.3
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0.0,0.3,0.3
0.4,0.4,0,0.007,0.4,0.407
0.4,0.4,45,0.025,0.41767767,0.41767767
0.4,0.4,90,0.0,0.4,0.4
0.4,0.4,135,0.001,0.40070713,0.3992929
0.4,0.4,180,0.006,0.4,0.394
0.4,0.4,225,0.024,0.38302943,0.38302943
0.4,0.4,270,0.006,0.394,0.4
0.4,0.4,315,0.006,0.39575738,0.40424263
0.35,0.42,0,0.006,0.35,0.426
0.35,0.42,45,0.012,0.35848528,0.42848527
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.012,0.35,0.408
0.35,0.42,225,0.012,0.3415147,0.4115147
0.35,0.42,270,0.005,0.345,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.0019999999,0.3,0.30200002
0.3,0.3,45,0.007,0.30494976,0.30494976
0.3,0.3,90,0.0019999999,0.30200002,0.3
0.3,0.3,135,0.004,0.30282843,0.2971716
0.3,0.3,180,0.007,0.3,0.293
0.3,0.3,225,0.007,0.29505026,0.29505026
0.3,0.3,270,0.0019999999,0.298,0.3
0.3,0.3,315,0.0019999999,0.2985858,0.30141422
0.4,0.4,0,0.006,0.4,0.40600002
0.4,0.4,45,0.031000001,0.42192033,0.42192033
0.4,0.4,90,0.007,0.407,0.4
0.4,0.4,135,0.005,0.40353554,0.39646447
0.4,0.4,180,0.007,0.4,0.393
0.4,0.4,225,0.024,0.38302943,0.38302943
0.4,0.4,270,0.007999999,0.39200002,0.4
0.4,0.4,315,0.0,0.4,0.4
0.35,0.42,0,0.026,0.35,0.44599998
0.35,0.42,45,0.0139999995,0.3598995,0.42989948
0.35,0.42,90,0.006,0.356,0.42
0.35,0.42,135,0.006,0.35424262,0.41575736
0.35,0.42,180,0.012,0.35,0.408
0.35,0.42,225,0.018,0.33727208,0.40727207
0.35,0.42,270,0.0,0.35,0.42
0.35,0.42,315,0.006,0.34575737,0.42424262
0.3,0.3,0,0.007,0.3,0.307
0.3,0.3,45,0.007,0.30494976,0.30494976
0.3,0.3,90,0.004,0.30400002,0.3
0.3,0.3,135,0.006,0.30424264,0.29575738
0.3,0.3,180,0.006,0.3,0.294
0.3,0.3,225,0.006,0.29575738,0.29575738
0.3,0.3,270,0.006,0.294,0.3
0.3,0.3,315,0.006,0.29575738,0.30424264
0.4,0.4,0,0.0,0.4,0.4
