x,y,Angle,Point,x1,y1
0.3,0.3,0,0.001,0.3,0.301
0.3,0.3,45,0.007,0.30494976,0.30494976
0.3,0.3,90,0,0.3,0.3
0.3,0.3,135,0,0.3,0.3
0.3,0.3,180,0.001,0.3,0.29900002
0.3,0.3,225,0.0019999999,0.2985858,0.2985858
0.3,0.3,270,0.001,0.29900002,0.3
0.3,0.3,315,0,0.3,0.3
0.15,0.2,0,0.007,0.15,0.207
0.15,0.2,45,0.007,0.15494975,0.20494975
0.15,0.2,90,0.013,0.163,0.2
0.15,0.2,135,0.006,0.15424265,0.19575736
0.15,0.2,180,0.013,0.15,0.187
0.15,0.2,225,0.007,0.14505026,0.19505025
0.15,0.2,270,0.012,0.13800001,0.2
0.15,0.2,315,0.006,0.14575736,0.20424265
